,종목코드,시가총액,연도,종목명,기업구분
326,011330,78596311180,2015,유니켐,S
327,006570,77343000000,2015,대림통상,S
328,032560,76020000000,2015,황금에스티,S
329,031820,75965746410,2015,콤텍시스템,S
330,012280,75675924990,2015,영화금속,S
331,072130,74950178720,2015,유엔젤,S
332,006890,74588000000,2015,태경케미컬,S
333,001570,73590685960,2015,금양,S
334,015260,73560655560,2015,에이엔피,S
335,004270,72243259200,2015,남성,S
336,017370,71922170390,2015,우신시스템,S
337,090080,71254322820,2015,평화산업,S
338,006740,71151000000,2015,영풍제지,S
339,010040,70991577360,2015,한국내화,S
340,021050,70076347950,2015,서원,S
341,002070,69366244500,2015,비비안,S
342,000910,68769181695,2015,유니온,S
343,001070,67946000000,2015,대한방직,S
344,005420,67841779960,2015,코스모화학,S
345,014580,67716510500,2015,태경비케이,S
346,001620,67679716400,2015,케이비아이동국실업,S
347,058730,66891700000,2015,다스코,S
348,020120,65705078350,2015,키다리스튜디오,S
349,023150,64635887760,2015,MH에탄올,S
350,023810,63800000000,2015,인팩,S
351,004720,63163298600,2015,팜젠사이언스,S
352,002720,63107808400,2015,국제약품,S
353,002410,62734148400,2015,범양건영,S
354,015020,62563336000,2015,이스타코,S
355,088790,62238720000,2015,진도,S
356,090370,62225154780,2015,메타랩스,S
357,093230,61409602956,2015,이아이디,S
358,011500,60593537750,2015,한농화성,S
359,023350,59458500000,2015,한국종합기술,S
360,011690,59422020600,2015,와이투솔루션,S
361,024900,58942613800,2015,덕양산업,S
362,013360,58476985800,2015,일성건설,S
363,010660,58190000000,2015,화천기계,S
364,011300,57426438600,2015,성안,S
365,026940,57100000000,2015,부국철강,S
366,074610,56975754880,2015,이엔플러스,S
367,009180,56682342000,2015,한솔로지스틱스,S
368,004140,54778503650,2015,동방,S
369,013000,53304086250,2015,세우글로벌,S
370,013700,53279690400,2015,까뮤이앤씨,S
371,023450,52540671700,2015,동남합성,S
372,017180,52519000000,2015,명문제약,S
373,009310,52230528350,2015,참엔지니어링,S
374,023960,51902608200,2015,에쓰씨엔지니어링,S
375,010770,51481640320,2015,평화홀딩스,S
376,008420,51361280025,2015,문배철강,S
377,002140,51250518375,2015,고려산업,S
378,025620,50245930700,2015,제이준코스메틱,S
379,001550,49671844200,2015,조비,S
380,000760,49560000000,2015,이화산업,S
381,003680,49246779490,2015,한성기업,S
382,002710,48706650000,2015,TCC스틸,S
383,025820,48490900000,2015,이구산업,S
384,007610,47520000000,2015,선도전기,S
385,005320,47430852400,2015,국동,S
386,002760,46841800000,2015,보락,S
387,002690,46575000000,2015,동일제강,S
388,006200,46569120320,2015,한국전자홀딩스,S
389,005820,46420000000,2015,원림,S
390,014910,45060864975,2015,성문전자,S
391,049800,43250000000,2015,우진플라임,S
392,030790,43183395255,2015,비케이탑스,S
393,069460,42737371425,2015,대호에이엘,S
394,009810,40114086040,2015,플레이그램,S
395,000520,39985000000,2015,삼일제약,S
396,003010,39918025580,2015,혜인,S
397,051630,39600000000,2015,진양화학,S
398,005070,39568235520,2015,코스모신소재,S
399,007460,39459586980,2015,에이프로젠,S
400,003780,39260000000,2015,진양산업,S
401,071090,38298927600,2015,하이스틸,S
402,002220,37434000000,2015,한일철강,S
403,001470,36663191355,2015,삼부토건,S
404,010600,36447222760,2015,웰바이오텍,S
405,006110,36355000000,2015,삼아알미늄,S
406,009190,36029956365,2015,대양금속,S
407,004920,35999066298,2015,씨아이테크,S
408,008500,35700000000,2015,일정실업,S
409,030720,35643367020,2015,동원수산,S
410,011390,35270400000,2015,부산산업,S
411,009470,34391864000,2015,삼화전기,S
412,019180,33030000000,2015,티에이치엔,S
413,005030,32996000000,2015,부산주공,S
414,001260,31379817430,2015,남광토건,S
415,009140,30866161050,2015,경인전자,S
416,025890,29969536350,2015,한국주강,S
417,001420,27968000000,2015,태원물산,S
418,002870,27617373000,2015,신풍,S
419,010580,22585834200,2015,에스엠벡셀,S
420,001140,19981062800,2015,국보,S
421,002420,19503277200,2015,세기상사,S
422,007280,11950000000,2015,한국특강,S
