,종목코드,종목명,시가총액,기업구분,PBR,1/PBR
143,2350,넥센타이어,597727000000.0,S,0.39,H
144,3520,영진약품,594401000000.0,S,5.67,L
145,4490,세방전지,592900000000.0,S,0.48,H
146,70,삼양홀딩스,588365000000.0,S,0.3,H
147,192400,쿠쿠홀딩스,584998000000.0,S,0.58,H
148,4360,세방,575399000000.0,S,0.74,H
149,241590,화승엔터프라이즈,559239000000.0,S,1.04,L
150,381970,케이카,555399000000.0,S,2.02,L
151,11000,진원생명과학,555146000000.0,S,2.69,L
152,18250,애경산업,551968000000.0,S,1.58,L
153,14830,유니드,550883000000.0,S,0.71,H
154,36420,콘텐트리중앙,549939000000.0,S,2.95,L
155,363280,티와이홀딩스,532211000000.0,S,0.27,H
156,170900,동아에스티,513550000000.0,S,0.8,H
157,5950,이수화학,508864000000.0,S,1.74,L
158,97520,엠씨넥스,501579000000.0,S,1.66,L
159,9450,경동나비엔,492418000000.0,S,1.08,L
160,17960,한국카본,485766000000.0,S,1.22,L
161,3070,코오롱글로벌,472696000000.0,S,0.8,H
162,6110,삼아알미늄,455400000000.0,S,3.73,L
163,4890,동일산업,449877000000.0,S,1.0,L
164,2240,고려제강,448500000000.0,S,0.32,H
165,7460,에이프로젠,435296000000.0,S,0.34,H
166,58650,세아홀딩스,432000000000.0,S,0.22,H
167,161000,애경케미칼,431514000000.0,S,0.62,H
168,33240,자화전자,430333000000.0,S,1.2,L
169,17810,풀무원,426950000000.0,S,0.98,H
170,25860,남해화학,422767000000.0,S,0.87,H
171,4430,송원산업,412800000000.0,S,0.76,H
172,3220,대원제약,411838000000.0,S,1.81,L
173,145990,삼양사,397583000000.0,S,0.31,H
174,91810,티웨이항공,396817000000.0,S,8.09,L
175,226320,잇츠한불,391438000000.0,S,0.83,H
176,102460,이연제약,389669000000.0,S,1.61,L
177,8490,서흥,389301000000.0,S,0.96,H
178,5180,빙그레,386661000000.0,S,0.62,H
179,7690,국도화학,385204000000.0,S,0.46,H
180,7570,일양약품,369308000000.0,S,1.61,L
181,306200,세아제강,367301000000.0,S,0.53,H
182,286940,롯데정보통신,361814000000.0,S,0.82,H
183,183190,아세아시멘트,360752000000.0,S,0.4,H
184,5500,삼진제약,356535000000.0,S,1.35,L
185,7660,이수페타시스,356077000000.0,S,2.84,L
186,2310,아세아제지,352886000000.0,S,0.49,H
187,3920,남양유업,352080000000.0,S,0.51,H
188,16800,퍼시스,349600000000.0,S,0.56,H
189,16590,신대양제지,346561000000.0,S,0.62,H
190,6390,한일현대시멘트,338234000000.0,S,0.96,H
191,122900,아이마켓코리아,337631000000.0,S,0.87,H
192,20120,키다리스튜디오,334897000000.0,S,1.43,L
193,3300,한일홀딩스,332995000000.0,S,0.24,H
194,138490,코오롱플라스틱,332120000000.0,S,1.51,L
195,16580,환인제약,327361000000.0,S,0.85,H
196,4700,조광피혁,327138000000.0,S,0.46,H
197,29530,신도리코,326089000000.0,S,0.32,H
198,97230,HJ중공업,326019000000.0,S,0.75,H
199,3280,흥아해운,325776000000.0,S,3.17,L
200,293480,하나제약,324356000000.0,S,1.25,L
201,11930,신성이엔지,320094000000.0,S,1.51,L
202,298690,에어부산,317844000000.0,S,1.55,L
203,298000,효성화학,317418000000.0,S,0.63,H
204,213500,한솔제지,315358000000.0,S,0.46,H
205,115390,락앤락,314757000000.0,S,0.46,H
206,2320,한진,314648000000.0,S,0.25,H
207,126720,수산인더스트리,314292000000.0,S,0.81,H
208,9290,광동제약,312428000000.0,S,0.49,H
209,490,대동,309924000000.0,S,0.76,H
210,77970,STX엔진,309470000000.0,S,1.31,L
211,271980,제일약품,308802000000.0,S,1.82,L
212,281820,케이씨텍,308751000000.0,S,0.8,H
213,72710,농심홀딩스,308413000000.0,S,0.3,H
214,9160,SIMPAC,306537000000.0,S,0.48,H
215,2960,한국쉘석유,303550000000.0,S,2.77,L
216,18470,조일알미늄,298218000000.0,S,1.73,L
217,50,경방,296085000000.0,S,0.36,H
218,5810,풍산홀딩스,294590000000.0,S,0.31,H
219,272550,삼양패키징,294459000000.0,S,0.82,H
220,75580,세진중공업,292775000000.0,S,1.73,L
221,24720,한국콜마홀딩스,292583000000.0,S,0.5,H
222,71840,롯데하이마트,289194000000.0,S,0.16,H
223,2030,아세아,288120000000.0,S,0.27,H
224,5010,휴스틸,284874000000.0,S,0.35,H
225,7810,코리아써키트,283449000000.0,S,0.81,H
226,84690,대상홀딩스,280285000000.0,S,0.41,H
227,95720,웅진씽크빅,277214000000.0,S,0.75,H
228,2150,도화엔지니어링,276841000000.0,S,1.03,L
229,2020,코오롱,276519000000.0,S,0.34,H
230,126560,현대퓨처넷,276058000000.0,S,0.36,H
231,74610,이엔플러스,275646000000.0,S,3.36,L
232,8350,남선알미늄,274938000000.0,S,1.0,L
233,6740,영풍제지,274229000000.0,S,1.64,L
234,1070,대한방직,272420000000.0,S,1.33,L
235,95570,AJ네트웍스,267824000000.0,S,0.71,H
236,84010,대한제강,267417000000.0,S,0.36,H
237,1630,종근당홀딩스,265523000000.0,S,0.48,H
238,9680,모토닉,265320000000.0,S,0.42,H
239,2990,금호건설,258675000000.0,S,0.38,H
240,20,동화약품,258645000000.0,S,0.74,H
241,104700,한국철강,258521000000.0,S,0.33,H
