종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"016610","동부증권","2005","15","0.75","2020","2045","1990","58690","118337100","29473500000","14700000"
"000990","동부한농","7000","400","6.06","6610","7300","6410","127610","899339000","69503315000","9929045"
"005830","동부화재","1070","50","4.90","1050","1070","1015","249210","261106700","75756000000","70800000"
"001400","동산씨앤지","385","15","4.05","340","385","340","175030","64561750","6622000000","17200000"
"010780","동서산업","1585","-275","-14.78","1960","2050","1585","1032980","1838781000","9510000000","6000000"
"002470","동성","145","-5","-3.33","145","150","140","791600","114763050","2981114015","20559407"
"002210","동성제약","4110","-30","-0.72","4170","4240","4100","144550","599159000","14284255680","3475488"
"008260","동성철강","1840","-320","-14.81","2100","2100","1840","29960","57024200","735111280","399517"
"005190","동성화학","8050","300","3.87","7800","8090","7800","127640","1013390200","32314865450","4014269"
"012270","동신","340","0","0.00","340","340","330","38150","12944500","4760000000","14000000"
"006600","동신제약","5500","-200","-3.51","6060","6060","5410","14260","79892200","25138630000","4570660"
"006605","동신제약(1우)","5880","760","14.84","4800","5880","4800","6860","36843500","1025472000","174400"
"000280","동아건설","2150","280","14.97","2150","2150","2150","856310","1841066500","81306915500","37817170"
"030710","동아금고","835","-145","-14.80","835","835","835","7380","6162300","3340000000","4000000"
"012760","동아정기","2900","-200","-6.45","2900","3000","2900","14790","43163200","4234000000","1460000"
"000640","동아제약","12050","150","1.26","12050","12250","11600","187120","2221256500","105015750000","8715000"
"007340","동아타이어","23950","900","3.90","23000","23950","22500","11640","266654500","55129427250","2301855"
"001780","동양강철","6220","20","0.32","6310","6310","6050","18910","116833100","5527011140","888587"
"001785","동양강철(1우)","3600","-50","-1.37","3360","3890","3360","2640","9778900","423360000","117600"
"001787","동양강철(2우B)","11250","-800","-6.64","11500","11500","11250","150","1711500","183521250","16313"
"005900","동양고속","3900","200","5.41","3800","3900","3800","20590","78848500","13673224500","3505955"
"013570","동양기전","5500","-90","-1.61","5520","5690","5360","7630","42408100","13314724500","2420859"
"001520","동양메이저","1725","80","4.86","1650","1760","1650","498530","849497500","47314312575","27428587"
"001525","동양메이저(1우)","1110","10","0.91","1065","1130","1065","37580","41652950","6917333520","6231832"
"001527","동양메이저(2우B)","1360","-5","-0.37","1360","1485","1325","54350","75213300","4237645760","3115916"
"002900","동양물산","5160","90","1.78","5010","5160","5000","6330","32217100","33740672400","6538890"
"027390","동양백화점","2200","50","2.33","2150","2245","2150","11630","25467250","5984000000","2720000"
"002710","동양석판","7010","10","0.14","7000","7100","7000","2980","20901200","16824000000","2400000"
"004510","동양에레베이","6250","-20","-0.32","6050","6460","6050","10360","64644700","21970000000","3515200"
"001800","동양제과","17000","250","1.49","15650","17000","14250","244480","3666979500","90213968000","5306704"
"008980","동양종금","1100","0","0.00","1040","1125","1040","304690","331316300","58001996800","52729088"
"008985","동양종금(1우)","940","-160","-14.55","1140","1200","940","24380","25338100","940000000","1000000"
"003470","동양증권","1830","10","0.55","1860","1875","1820","376730","691544200","88745602950","48494865"
"003475","동양증권(1우)","1300","-60","-4.41","1360","1400","1300","56320","74927950","15934765600","12257512"
"008970","동양철관","775","-50","-6.06","820","820","770","64390","50505100","1784961400","2303176"
"008975","동양철관(1우)","11750","1500","14.63","10900","11750","10250","530","6032000","272529500","23194"
"000060","동양화재","3105","-45","-1.43","3100","3150","3080","17420","54138000","26640900000","8580000"
"002740","동양화학","7460","120","1.63","7500","7500","7400","45380","338649200","83729562920","11223802"
"002745","동양화학(1우)","5690","290","5.37","5800","5800","5470","4450","24548000","9634666470","1693263"
"003580","동원","17100","-1900","-10.00","17100","18750","17100","88460","1551760000","61686283500","3607385"
"049770","동원F&B","3870","25","0.65","3910","3950","3800","44710","171741650","11610000000","3000000"
"018500","동원금속","2850","-450","-13.64","2900","3250","2850","61380","185872050","4702098150","1649859"
"006040","동원산업","5900","230","4.06","5700","5900","5660","22200","128826200","26172400000","4436000"
"030720","동원수산","3100","200","6.90","2900","3170","2900","24280","74702700","9186887200","2963512"
"005890","동원증권","3920","-60","-1.51","4020","4040","3900","760780","3006603700","263166777440","67134382"
"005895","동원증권(1우)","2100","5","0.24","2040","2180","2040","50210","104714700","18569880000","8842800"
"005897","동원증권(2우B)","2000","-10","-0.50","2060","2060","1950","13500","26851300","9727080000","4863540"
"001530","동일방직","13700","50","0.37","13900","14000","13600","21230","291561000","27400000000","2000000"
"004840","동일벨트","31500","-350","-1.10","31850","32000","30750","280","8834000","35280000000","1120000"
"019300","동일제지","6300","0","0.00","6250","6350","6160","35560","221902600","25004700000","3969000"
"011000","동일패브릭","9060","-1090","-10.74","10150","10550","9060","65450","646473200","6873640800","758680"
"019180","동해전장","6450","-160","-2.42","6600","6830","6280","31710","207995300","11610000000","1800000"
"009580","동해펄프","4500","-410","-8.35","4800","4990","4500","15430","73810200","42930000000","9540000"
"000020","동화약품","6360","-140","-2.15","6310","6630","6310","61500","392239800","34493892480","5423568"
"000300","두레에어","990","55","5.88","850","990","850","7820","7072300","2673000000","2700000"
"000150","두산","18000","1600","9.76","16850","18000","15900","41560","720601500","309814902000","17211939"
"000155","두산(1우)","4790","170","3.68","4600","4800","4600","23000","109201850","18170639870","3793453"
"000157","두산(2우B)","5250","230","4.58","4830","5280","4830","4370","22658500","3983122500","758690"
"002950","두산건설","1840","150","8.88","1720","1840","1690","170220","299962900","86028476880","46754607"
"002955","두산건설(1우)","1265","-15","-1.17","1410","1410","1250","8190","10468300","1442100000","1140000"
