종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"053260","금강철강","6300","-260","-3.96","631","9.98",,,"7407","0.85","120","1.90"
"008870","금비","109000","-6500","-5.63","4566","23.87",,,"129156","0.84","1600","1.47"
"001570","금양","23900","300","1.27","295","81.02",,,"2530","9.45","0","0.00"
"002990","금호건설","7000","-310","-4.24","4130","1.69","1929","3.63","18202","0.38","800","11.43"
"002995","금호건설우","21850","-400","-1.80",,,,,,,"850","3.89"
"011780","금호석유","126000","-7000","-5.26","70433","1.79","23573","5.35","181037","0.70","10000","7.94"
"011785","금호석유우","81000","-2700","-3.23",,,,,,,"10050","12.41"
"214330","금호에이치티","892","-19","-2.09",,,,,"1855","0.48","0","0.00"
"001210","금호전기","920","-28","-2.95",,,,,"1541","0.60","0","0.00"
"073240","금호타이어","2780","-130","-4.47",,,,,"4083","0.68","0","0.00"
"036190","금화피에스시","28750","0","0.00","3919","7.34","4400","6.53","46357","0.62","1300","4.52"
"049080","기가레인","1400","-85","-5.72","49","28.57","55","25.29","785","1.78","0","0.00"
"035460","기산텔레콤","2910","-370","-11.28",,,,,"2159","1.35","0","0.00"
"092440","기신정기","3430","-30","-0.87","291","11.79",,,"8569","0.40","150","4.37"
"000270","기아","59300","-1600","-2.63","11874","4.99","16000","3.71","87073","0.68","3000","5.06"
"024110","기업은행","9820","-180","-1.80","2877","3.41","3634","2.70","34345","0.29","780","7.94"
"013700","까뮤이앤씨","2130","5","0.24",,,,,"2230","0.96","20","0.94"
"308100","까스텔바작","5530","-250","-4.33",,,,,"10882","0.51","0","0.00"
"004540","깨끗한나라","2800","-55","-1.93","225","12.44",,,"6103","0.46","0","0.00"
"004545","깨끗한나라우","17550","-450","-2.50",,,,,,,"0","0.00"
"187790","나노","1030","-10","-0.96",,,,,"1171","0.88","0","0.00"
"286750","나노브릭","1325","-5","-0.38",,,,,"606","2.19","0","0.00"
